"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"366";"the reason behind this can be found by the teachers and related people .";"সূর্য পূর্বদিকে উদয় হয় তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"1.406370"
"367";"this is the the first time the test was done , so it is not unusual to have some weaknesses .";"এটা পৃথিবীর রেকর্ডারটা যে এসেছি। হাত পিছোনে বেঁধে কারুর সাথে লড়াই করার মতো ব্যপার।";"0.861225"
"368";"in general students prepare for the public examination on the light of previous years questions .";"জীবনে চড়াই উতরাই আছে। তাদের আছে।";"0.766523"
"369";"the teachers who give the 'suggestions' also give the same question in the previous year's question papers .";"সূর্য পূর্বদিকে উদয় হয় আপনাকে পশ্চিম দিকে অস্ত স্থির করতে হয়নি।";"0.991687"
"370";"there was no such opportunity in this examination .";"বসন্তের প্রত্যক্ষ অল্পসংখ্যক তখনও ছিলো না।";"2.461513"
"371";"but it does not make any difference in knowledge acquired by the learners .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার একদমই মেনে উচিৎ হয় নি।";"1.426592"
"372";"girls' results are better than boys in the primary stage , but this examination of the eighth grade shows that boys are ahead .";"ভ্যালেন্টাইন পাতা ইংরাজি অনুবাদ করা হয়তো পশ্চিম দিকে হয়তো এখনো বেঁচে থাকতেন।";"0.622912"
"373";"it should also be examined as to what might be the reason .";"কয়েক পাতা হলে তোমাকে বরফ সহজ হয় না।";"1.477963"
"374";"it can be noted here that if the care and attention towards girls' education is reduced by the family or school at the top level .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.479208"
"375";"more than 80 thousand students did not participate in the exam even after registering for the exam .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.991687"
"376";"the reason why this huge number of children dropped from education in the eighth grade is also needed to be examined .";"সূর্য পূর্বদিকে উদয় হয় তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"0.631923"
"377";"highest effort should be ensured so that students do not drop out until the higher secondary level .";"রাতটা কুয়াশার লক্ষ জন্য অনুবাদ করতে যান।";"0.682170"
"378";"because , to survive in this 21st century world , people have to be transformed into educated labour force to deal with the increasing population pressure .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার একদমই মেনে নেয় না যে নি।";"0.485124"
